Số quyển truyện: 50
Số lượng truyện hiện tại: 6725
Số lượng truyện gốc: 6725
| T001 | doraemon                                                       | Doraemon                                                       | Fujiko F. Fujio                | Truyện tranh                   | Kim Đồng                       | 2010 | 150 | 150 | 0   | 2000 |
| T022 | my-hero-academia                                               | My Hero Academia                                               | Kohei Horikoshi                | Hành động                      | Kim Đồng                       | 2019 | 160 | 160 | 0   | 3500 |
| T023 | fullmetal-alchemist                                            | Fullmetal Alchemist                                            | Hiromu Arakawa                 | Phiêu lưu                      | Kim Đồng                       | 2012 | 125 | 125 | 0   | 3000 |
| T024 | yu-gi-oh                                                       | Yu-Gi-Oh!                                                      | Kazuki Takahashi               | Phiêu lưu                      | Kim Đồng                       | 2011 | 120 | 120 | 0   | 2500 |
| T025 | pokemon-adventures                                             | Pokemon Adventures                                             | Hidenori Kusaka                | Phiêu lưu                      | Kim Đồng                       | 2017 | 145 | 145 | 0   | 3000 |
| T026 | inuyasha                                                       | InuYasha                                                       | Rumiko Takahashi               | Giả tưởng                      | Kim Đồng                       | 2010 | 110 | 110 | 0   | 2500 |
| T027 | gintama                                                        | Gintama                                                        | Hideaki Sorachi                | Hài hước                       | Kim Đồng                       | 2015 | 115 | 115 | 0   | 3000 |
| T028 | berserk                                                        | Berserk                                                        | Kentaro Miura                  | Hành động                      | Kim Đồng                       | 2014 | 100 | 100 | 0   | 4000 |
| T029 | vagabond                                                       | Vagabond                                                       | Takehiko Inoue                 | Lịch sử                        | Kim Đồng                       | 2013 | 95 | 95 | 0   | 4000 |
| T030 | jojos-bizarre-adventure                                        | JoJo's Bizarre Adventure                                       | Hirohiko Araki                 | Hành động                      | Kim Đồng                       | 2016 | 140 | 140 | 0   | 3500 |
| T031 | sailor-moon                                                    | Sailor Moon                                                    | Naoko Takeuchi                 | Giả tưởng                      | Kim Đồng                       | 2011 | 100 | 100 | 0   | 2500 |
| T032 | cardcaptor-sakura                                              | Cardcaptor Sakura                                              | CLAMP                          | Giả tưởng                      | Kim Đồng                       | 2012 | 110 | 110 | 0   | 2500 |
| T033 | detective-school-q                                             | Detective School Q                                             | Seimaru Amagi                  | Trinh thám                     | Kim Đồng                       | 2010 | 105 | 105 | 0   | 2500 |
| T034 | kingdom                                                        | Kingdom                                                        | Yasuhisa Hara                  | Lịch sử                        | Kim Đồng                       | 2019 | 130 | 130 | 0   | 3500 |
| T035 | the-promised-neverland                                         | The Promised Neverland                                         | Kaiu Shirai                    | Kinh dị                        | Kim Đồng                       | 2020 | 125 | 125 | 0   | 3500 |
| T036 | fire-force                                                     | Fire Force                                                     | Atsushi Ohkubo                 | Hành động                      | Kim Đồng                       | 2019 | 120 | 120 | 0   | 3000 |
| T037 | soul-eater                                                     | Soul Eater                                                     | Atsushi Ohkubo                 | Hành động                      | Kim Đồng                       | 2015 | 110 | 110 | 0   | 3000 |
| T038 | assassination-classroom                                        | Assassination Classroom                                        | Yusei Matsui                   | Hài hước                       | Kim Đồng                       | 2017 | 135 | 135 | 0   | 3000 |
| T039 | reborn                                                         | Katekyo Hitman Reborn!                                         | Akira Amano                    | Hành động                      | Kim Đồng                       | 2014 | 125 | 125 | 0   | 3000 |
| T040 | noragami                                                       | Noragami                                                       | Adachitoka                     | Giả tưởng                      | Kim Đồng                       | 2018 | 120 | 120 | 0   | 3000 |
| T041 | komi-cant-communicate                                          | Komi Can't Communicate                                         | Tomohito Oda                   | Hài hước                       | Kim Đồng                       | 2021 | 150 | 150 | 0   | 3000 |
| T042 | your-lie-in-april                                              | Your Lie in April                                              | Naoshi Arakawa                 | Tình cảm                       | Kim Đồng                       | 2016 | 115 | 115 | 0   | 3000 |
| T043 | a-silent-voice                                                 | A Silent Voice                                                 | Yoshitoki Oima                 | Tình cảm                       | Kim Đồng                       | 2017 | 120 | 120 | 0   | 3000 |
| T044 | fruits-basket                                                  | Fruits Basket                                                  | Natsuki Takaya                 | Tình cảm                       | Kim Đồng                       | 2013 | 100 | 100 | 0   | 2500 |
| T045 | nana                                                           | Nana                                                           | Ai Yazawa                      | Tình cảm                       | Kim Đồng                       | 2012 | 90 | 90 | 0   | 2500 |
| T046 | beastars                                                       | Beastars                                                       | Paru Itagaki                   | Tâm lý                         | Kim Đồng                       | 2020 | 130 | 130 | 0   | 3500 |
| T047 | parasyte                                                       | Parasyte                                                       | Hitoshi Iwaaki                 | Kinh dị                        | Kim Đồng                       | 2015 | 105 | 105 | 0   | 3000 |
| T048 | akame-ga-kill                                                  | Akame ga Kill!                                                 | Takahiro                       | Hành động                      | Kim Đồng                       | 2016 | 115 | 115 | 0   | 3000 |
| T049 | classroom-of-the-elite                                         | Classroom of the Elite                                         | Syougo Kinugasa                | Tâm lý                         | Kim Đồng                       | 2021 | 140 | 140 | 0   | 3500 |
| T050 | oshi-no-ko                                                     | Oshi no Ko                                                     | Aka Akasaka                    | Tâm lý                         | Kim Đồng                       | 2023 | 160 | 160 | 0   | 4000 |
