Số quyển truyện: 117
| T001 | Doraemon                                                       | Doraemon                                                       | Fujiko F. Fujio                | Truyện tranh                   | Kim Đồng                       | 2010 | 2000 |
| T021 | pluto                                                          | Pluto                                                          | Naoki Urasawa                  | Khoa học                       | NXB Trẻ                        | 2022 | 4500 |
| T022 | master-keaton                                                  | Master Keaton                                                  | Naoki Urasawa                  | Trinh thám                     | NXB Trẻ                        | 2023 | 4500 |
| T023 | billy-bat                                                      | Billy Bat                                                      | Naoki Urasawa                  | Bí ẩn                          | NXB Trẻ                        | 2024 | 4500 |
| T024 | yotsuba                                                        | Yotsuba&!                                                      | Kiyohiko Azuma                 | Hài hước                       | NXB Trẻ                        | 2014 | 3000 |
| T025 | azumanga-daioh                                                 | Azumanga Daioh                                                 | Kiyohiko Azuma                 | Hài hước                       | NXB Trẻ                        | 2015 | 3000 |
| T026 | black-jack                                                     | Black Jack                                                     | Osamu Tezuka                   | Y khoa                         | NXB Trẻ                        | 2011 | 3500 |
| T027 | dororo                                                         | Dororo                                                         | Osamu Tezuka                   | Giả tưởng                      | NXB Trẻ                        | 2012 | 3500 |
| T028 | astro-boy                                                      | Astro Boy                                                      | Osamu Tezuka                   | Khoa học                       | NXB Trẻ                        | 2013 | 3500 |
| T029 | hi-chim-se-hello                                               | Hi Chim Sẻ Hello                                               | Osamu Tezuka                   | Hài hước                       | NXB Trẻ                        | 2014 | 3500 |
| T030 | phoenix                                                        | Phoenix                                                        | Osamu Tezuka                   | Khoa học                       | NXB Trẻ                        | 2015 | 4000 |
| T031 | buddha                                                         | Buddha                                                         | Osamu Tezuka                   | Lịch sử                        | NXB Trẻ                        | 2016 | 4000 |
| T032 | tham-tu-kindaichi                                              | Thám tử Kindaichi                                              | Seimaru Amagi                  | Trinh thám                     | NXB Trẻ                        | 2015 | 3000 |
| T033 | sword-art-online                                               | Sword Art Online                                               | Reki Kawahara                  | Giả tưởng                      | IPM                            | 2014 | 5000 |
| T034 | overlord                                                       | Overlord                                                       | Kugane Maruyama                | Giả tưởng                      | IPM                            | 2018 | 6000 |
| T035 | no-game-no-life                                                | No Game No Life                                                | Yuu Kamiya                     | Giả tưởng                      | IPM                            | 2017 | 5500 |
| T036 | re-zero                                                        | Re:Zero                                                        | Tappei Nagatsuki               | Giả tưởng                      | IPM                            | 2019 | 5500 |
| T037 | slime-chuyen-sinh                                              | Slime Chuyển Sinh                                              | Fuse                           | Giả tưởng                      | IPM                            | 2020 | 6000 |
| T038 | your-name                                                      | Your Name                                                      | Makoto Shinkai                 | Tình cảm                       | IPM                            | 2017 | 5000 |
| T039 | 5-cm-s                                                         | 5 Centimet Trên Giây                                           | Makoto Shinkai                 | Tình cảm                       | IPM                            | 2016 | 4500 |
| T040 | weathering-with-you                                            | Đứa Con Của Thời Tiết                                          | Makoto Shinkai                 | Tình cảm                       | IPM                            | 2020 | 5000 |
| T041 | suzume                                                         | Suzume Khóa Chặt Cửa Nào                                       | Makoto Shinkai                 | Giả tưởng                      | IPM                            | 2023 | 5500 |
| T042 | khu-vuon-ngon-tu                                               | Khu Vườn Ngôn Từ                                               | Makoto Shinkai                 | Tình cảm                       | IPM                            | 2018 | 4500 |
| T043 | tieng-goi-tu-vi-sao                                            | Tiếng Gọi Từ Vì Sao                                            | Makoto Shinkai                 | Khoa học                       | IPM                            | 2019 | 4500 |
| T044 | the-gioi-hoan-my                                               | Thế Giới Hoàn Mỹ                                               | Thần Đông                      | Tiên hiệp                      | Amak                           | 2021 | 6000 |
| T045 | toan-chuc-cao-thu                                              | Toàn Chức Cao Thủ                                              | Hồ Điệp Lam                    | Thể thao                       | Amak                           | 2020 | 6000 |
| T046 | ma-dao-to-su                                                   | Ma Đạo Tổ Sư                                                   | Mặc Hương Đồng Khứu            | Cổ trang                       | Cẩm Phong                      | 2019 | 7000 |
| T047 | thien-quan-tu-phuc                                             | Thiên Quan Tứ Phúc                                             | Mặc Hương Đồng Khứu            | Cổ trang                       | Cẩm Phong                      | 2021 | 7500 |
| T048 | rung-na-uy                                                     | Rừng Na Uy                                                     | Haruki Murakami                | Tâm lý                         | Nhã Nam                        | 2008 | 8000 |
| T049 | kafka-ben-bo-bien                                              | Kafka Bên Bờ Biển                                              | Haruki Murakami                | Tâm lý                         | Nhã Nam                        | 2010 | 8500 |
| T050 | 1q84                                                           | 1Q84                                                           | Haruki Murakami                | Tâm lý                         | Nhã Nam                        | 2012 | 9000 |
| T051 | bien-nien-ky-chim-van-day-cot                                  | Biên Niên Ký Chim Vặn Dây Cót                                  | Haruki Murakami                | Tâm lý                         | Nhã Nam                        | 2015 | 9500 |
| T052 | phia-nam-bien-gioi                                             | Phía Nam Biên Giới Phía Tây Mặt Trời                           | Haruki Murakami                | Tâm lý                         | Nhã Nam                        | 2014 | 7000 |
| T053 | cuoc-san-cuu-hoang                                             | Cuộc Săn Cừu Hoang                                             | Haruki Murakami                | Tâm lý                         | Nhã Nam                        | 2016 | 7500 |
| T054 | nghe-thuat-tinh-te                                             | Nghệ Thuật Tinh Tế Của Việc Đếch Quan Tâm                      | Mark Manson                    | Kỹ năng                        | Nhã Nam                        | 2018 | 6000 |
| T055 | nha-gia-kim                                                    | Nhà Giả Kim                                                    | Paulo Coelho                   | Triết lý                       | Nhã Nam                        | 2013 | 5000 |
| T056 | hoang-tu-be                                                    | Hoàng Tử Bé                                                    | Antoine de Saint-Exupéry       | Triết lý                       | Nhã Nam                        | 2014 | 4000 |
| T057 | ke-trom-sach                                                   | Kẻ Trộm Sách                                                   | Markus Zusak                   | Lịch sử                        | Nhã Nam                        | 2015 | 8000 |
| T058 | suoi-nguon                                                     | Suối Nguồn                                                     | Ayn Rand                       | Triết lý                       | NXB Trẻ                        | 2011 | 15000 |
| T059 | giet-con-chim-nhai                                             | Giết Con Chim Nhại                                             | Harper Lee                     | Tâm lý                         | Nhã Nam                        | 2014 | 7000 |
| T060 | mat-biec                                                       | Mắt Biếc                                                       | Nguyễn Nhật Ánh                | Tình cảm                       | NXB Trẻ                        | 2004 | 5000 |
| T061 | cho-toi-xin-mot-ve                                             | Cho Tôi Xin Một Vé Đi Tuổi Thơ                                 | Nguyễn Nhật Ánh                | Hài hước                       | NXB Trẻ                        | 2008 | 4500 |
| T062 | kinh-van-hoa                                                   | Kính Vạn Hoa                                                   | Nguyễn Nhật Ánh                | Học đường                      | NXB Trẻ                        | 2010 | 4000 |
| T063 | co-gai-den-tu-hom-qua                                          | Cô Gái Đến Từ Hôm Qua                                          | Nguyễn Nhật Ánh                | Tình cảm                       | NXB Trẻ                        | 2005 | 4500 |
| T064 | trai-hoa-vang                                                  | Trại Hoa Vàng                                                  | Nguyễn Nhật Ánh                | Tình cảm                       | NXB Trẻ                        | 2006 | 4500 |
| T065 | bo-cau-khong-dua-thu                                           | Bồ Câu Không Đưa Thư                                           | Nguyễn Nhật Ánh                | Học đường                      | NXB Trẻ                        | 2007 | 4000 |
| T066 | thang-quy-nho                                                  | Thằng Quỷ Nhỏ                                                  | Nguyễn Nhật Ánh                | Học đường                      | NXB Trẻ                        | 2006 | 4000 |
| T067 | ban-co-nam-cho                                                 | Bàn Có Năm Chỗ Ngồi                                            | Nguyễn Nhật Ánh                | Học đường                      | NXB Trẻ                        | 2008 | 4000 |
| T068 | ha-do                                                          | Hạ Đỏ                                                          | Nguyễn Nhật Ánh                | Tình cảm                       | NXB Trẻ                        | 2009 | 4500 |
| T069 | thien-than-nho-cua-toi                                         | Thiên Thần Nhỏ Của Tôi                                         | Nguyễn Nhật Ánh                | Tình cảm                       | NXB Trẻ                        | 2010 | 4500 |
| T070 | bay-buoc-toi-mua-he                                            | Bảy Bước Tới Mùa Hè                                            | Nguyễn Nhật Ánh                | Tình cảm                       | NXB Trẻ                        | 2015 | 5000 |
| T071 | con-cho-nho-mang-gio-hoa                                       | Con Chó Nhỏ Mang Giỏ Hoa Hồng                                  | Nguyễn Nhật Ánh                | Hài hước                       | NXB Trẻ                        | 2016 | 5000 |
| T072 | cam-on-nguoi-lon                                               | Cảm Ơn Người Lớn                                               | Nguyễn Nhật Ánh                | Hài hước                       | NXB Trẻ                        | 2018 | 5500 |
| T073 | lam-ban-voi-bau-troi                                           | Làm Bạn Với Bầu Trời                                           | Nguyễn Nhật Ánh                | Tâm lý                         | NXB Trẻ                        | 2019 | 5500 |
| T074 | dao-mong-mo                                                    | Đảo Mộng Mơ                                                    | Nguyễn Nhật Ánh                | Thiếu nhi                      | NXB Trẻ                        | 2010 | 4500 |
| T075 | toi-thay-hoa-vang                                              | Tôi Thấy Hoa Vàng Trên Cỏ Xanh                                 | Nguyễn Nhật Ánh                | Tình cảm                       | NXB Trẻ                        | 2010 | 5000 |
| T076 | ngoi-khoc-tren-cay                                             | Ngồi Khóc Trên Cây                                             | Nguyễn Nhật Ánh                | Tình cảm                       | NXB Trẻ                        | 2013 | 5500 |
| T077 | chuc-mot-ngay-tot-lanh                                         | Chúc Một Ngày Tốt Lành                                         | Nguyễn Nhật Ánh                | Hài hước                       | NXB Trẻ                        | 2014 | 5000 |
| T078 | ngay-xua-co-mot-chuyen-tinh                                    | Ngày Xưa Có Một Chuyện Tình                                    | Nguyễn Nhật Ánh                | Tình cảm                       | NXB Trẻ                        | 2016 | 6000 |
| T079 | thien-tai-ben-trai                                             | Thiên Tài Bên Trái Kẻ Điên Bên Phải                            | Cao Minh                       | Tâm lý                         | Time Books                     | 2020 | 7500 |
| T080 | muon-kiep-nhan-sinh                                            | Muôn Kiếp Nhân Sinh                                            | Nguyên Phong                   | Tâm linh                       | First News                     | 2020 | 8000 |
| T081 | hanh-trinh-ve-phuong-dong                                      | Hành Trình Về Phương Đông                                      | Baird T. Spalding              | Tâm linh                       | First News                     | 2015 | 5500 |
| T082 | hieu-ve-trai-tim                                               | Hiểu Về Trái Tim                                               | Minh Niệm                      | Tâm lý                         | First News                     | 2010 | 6000 |
| T083 | dac-nhan-tam                                                   | Đắc Nhân Tâm                                                   | Dale Carnegie                  | Kỹ năng                        | First News                     | 2005 | 5000 |
| T084 | quoc-gia-khoi-nghiep                                           | Quốc Gia Khởi Nghiệp                                           | Dan Senor                      | Kinh tế                        | Alpha Books                    | 2013 | 7000 |
| T085 | tu-tot-den-vi-dai                                              | Từ Tốt Đến Vĩ Đại                                              | Jim Collins                    | Kinh tế                        | NXB Trẻ                        | 2011 | 8000 |
| T086 | suy-nghi-nhanh-va-cham                                         | Suy Nghĩ Nhanh Và Chậm                                         | Daniel Kahneman                | Tâm lý                         | Alpha Books                    | 2015 | 9000 |
| T087 | luoc-su-loai-nguoi                                             | Lược Sử Loài Người                                             | Yuval Noah Harari              | Lịch sử                        | Nhã Nam                        | 2017 | 10000 |
| T088 | luoc-su-tuong-lai                                              | Lược Sử Tương Lai                                              | Yuval Noah Harari              | Lịch sử                        | Nhã Nam                        | 2018 | 11000 |
| T089 | 21-bai-hoc                                                     | 21 Bài Học Cho Thế Kỷ 21                                       | Yuval Noah Harari              | Xã hội                         | Nhã Nam                        | 2019 | 10500 |
| T090 | toi-tu-hoc                                                     | Tôi Tự Học                                                     | Thu Giang Nguyễn Duy Cần       | Kỹ năng                        | NXB Trẻ                        | 2014 | 4000 |
| T091 | thuong-y-tong-tam-linh                                         | Hải Thượng Y Tông Tâm Lĩnh                                     | Lê Hữu Trác                    | Y học                          | NXB Y Học                      | 2010 | 15000 |
| T092 | tat-den                                                        | Tắt Đèn                                                        | Ngô Tất Tố                     | Văn học                        | NXB Văn Học                    | 2005 | 3000 |
| T093 | chi-pheo                                                       | Chí Phèo                                                       | Nam Cao                        | Văn học                        | NXB Văn Học                    | 2006 | 3000 |
| T094 | so-do                                                          | Số Đỏ                                                          | Vũ Trọng Phụng                 | Văn học                        | NXB Văn Học                    | 2007 | 3500 |
| T095 | de-men-phieu-luu-ky                                            | Dế Mèn Phiêu Lưu Ký                                            | Tô Hoài                        | Thiếu nhi                      | NXB Trẻ                        | 2015 | 4000 |
| T096 | dat-rung-phuong-nam                                            | Đất Rừng Phương Nam                                            | Đoàn Giỏi                      | Thiếu nhi                      | NXB Trẻ                        | 2016 | 4500 |
| T097 | canh-dong-bat-tan                                              | Cánh Đồng Bất Tận                                              | Nguyễn Ngọc Tư                 | Văn học                        | NXB Trẻ                        | 2005 | 5000 |
| T098 | tay-du-ky                                                      | Tây Du Ký                                                      | Ngô Thừa Ân                    | Cổ trang                       | NXB Văn Học                    | 2010 | 6000 |
| T099 | tam-quoc-dien-nghia                                            | Tam Quốc Diễn Nghĩa                                            | La Quán Trung                  | Lịch sử                        | NXB Văn Học                    | 2011 | 7000 |
| T100 | thuy-hu                                                        | Thủy Hử                                                        | Thi Nại Am                     | Cổ trang                       | NXB Văn Học                    | 2012 | 6500 |
| T101 | hong-lau-mong                                                  | Hồng Lâu Mộng                                                  | Tào Tuyết Cần                  | Cổ trang                       | NXB Văn Học                    | 2013 | 8000 |
| T102 | dune                                                           | Xứ Cát                                                         | Frank Herbert                  | Khoa học                       | Nhã Nam                        | 2021 | 10000 |
| T103 | gatsby-vi-dai                                                  | Gatsby Vĩ Đại                                                  | F. Scott Fitzgerald            | Văn học                        | Nhã Nam                        | 2015 | 7000 |
| T104 | 1984                                                           | 1984                                                           | George Orwell                  | Khoa học                       | Nhã Nam                        | 2013 | 8000 |
| T105 | trai-suc-vat                                                   | Trại Súc Vật                                                   | George Orwell                  | Văn học                        | Nhã Nam                        | 2014 | 5000 |
| T106 | bat-tre-dong-xanh                                              | Bắt Trẻ Đồng Xanh                                              | J.D. Salinger                  | Tâm lý                         | Nhã Nam                        | 2015 | 6500 |
| T107 | mat-ma-da-vinci                                                | Mật Mã Da Vinci                                                | Dan Brown                      | Trinh thám                     | NXB Trẻ                        | 2010 | 9000 |
| T108 | thien-than-va-ac-quy                                           | Thiên Thần Và Ác Quỷ                                           | Dan Brown                      | Trinh thám                     | NXB Trẻ                        | 2011 | 8500 |
| T109 | su-im-lang-cua-bay-cuu                                         | Sự Im Lặng Của Bầy Cừu                                         | Thomas Harris                  | Trinh thám                     | Nhã Nam                        | 2014 | 7500 |
| T110 | rong-do                                                        | Rồng Đỏ                                                        | Thomas Harris                  | Trinh thám                     | Nhã Nam                        | 2015 | 7000 |
| T111 | phao-dai-so                                                    | Pháo Đài Số                                                    | Dan Brown                      | Trinh thám                     | NXB Trẻ                        | 2012 | 8000 |
| T112 | diem-doi-lua                                                   | Điểm Dối Lừa                                                   | Dan Brown                      | Trinh thám                     | NXB Trẻ                        | 2013 | 8000 |
| T113 | cuoc-doi-cua-pi                                                | Cuộc Đời Của Pi                                                | Yann Martel                    | Phiêu lưu                      | Nhã Nam                        | 2012 | 7500 |
| T114 | chu-nhan-cua-nhung-chiec-nhan                                  | Chúa Tể Những Chiếc Nhẫn                                       | J.R.R. Tolkien                 | Giả tưởng                      | Nhã Nam                        | 2013 | 15000 |
| T115 | tro-choi-vuong-quyen                                           | Trò Chơi Vương Quyền                                           | George R.R. Martin             | Giả tưởng                      | Alpha Books                    | 2016 | 12000 |
| T116 | cay-cam-ngot-cua-toi                                           | Cây Cam Ngọt Của Tôi                                           | José Mauro de Vasconcelos      | Tâm lý                         | Nhã Nam                        | 2020 | 7500 |
| T117 | tieng-chim-hot-trong-bui-man-gai                               | Tiếng Chim Hót Trong Bụi Mận Gai                               | Colleen McCullough             | Tình cảm                       | NXB Văn Học                    | 2015 | 9000 |
